12.0   0.000320    0.415   1.217   0.245   1.249   2.0   0.6   1.7   1.0 
12.0   0.000500    0.266   1.146   0.239   1.156   1.8   0.7   1.4   1.0 
15.0   0.000320    0.519   1.283   0.249   1.342   2.4   0.7   1.9   1.4 
15.0   0.000500    0.332   1.228   0.243   1.247   1.9   0.6   1.6   0.7 
15.0   0.000800    0.208   1.115   0.238   1.121   1.7   0.6   1.4   0.8 
15.0   0.00130     0.127   0.969   0.234   0.971   2.9   0.6   1.4   2.4 
15.0   0.00200     0.083   0.865   0.232   0.866   2.5   0.6   1.5   2.0 
15.0   0.00320     0.052   0.774   0.234   0.774   2.5   0.7   1.5   1.9 
15.0   0.00500     0.033   0.708   0.237   0.708   2.4   0.8   1.5   1.7 
15.0   0.0100      0.017   0.575   0.244   0.575   2.7   0.7   1.4   2.2 
15.0   0.0320      0.005   0.453   0.211   0.453   6.4   1.0   3.3   5.5 
20.0   0.000500    0.443   1.285   0.246   1.324   2.0   0.6   1.6   0.9 
20.0   0.000800    0.277   1.178   0.241   1.190   1.8   0.6   1.4   1.0 
20.0   0.00130     0.170   1.059   0.237   1.062   1.8   0.6   1.4   1.0 
20.0   0.00200     0.111   0.939   0.235   0.940   2.8   0.7   1.4   2.3 
20.0   0.00320     0.069   0.819   0.234   0.819   2.3   0.7   1.5   1.7 
20.0   0.00500     0.044   0.747   0.235   0.747   2.2   0.8   1.5   1.3 
20.0   0.0100      0.022   0.610   0.238   0.610   2.4   0.7   1.4   1.8 
20.0   0.0320      0.007   0.455   0.198   0.455   6.8   1.0   3.3   5.9 
25.0   0.000500    0.553   1.345   0.248   1.417   2.4   1.0   1.8   1.2 
25.0   0.000800    0.346   1.242   0.243   1.263   1.9   0.7   1.6   0.9 
25.0   0.00130     0.213   1.091   0.238   1.097   1.8   0.7   1.4   0.9 
25.0   0.00200     0.138   0.985   0.236   0.987   2.9   0.8   1.4   2.4 
25.0   0.00320     0.086   0.879   0.234   0.880   2.8   0.8   1.5   2.2 
25.0   0.00500     0.055   0.754   0.234   0.754   2.4   0.9   1.5   1.6 
25.0   0.00800     0.034   0.663   0.234   0.663   2.5   0.9   1.5   1.8 
25.0   0.0158      0.018   0.547   0.226   0.547   3.7   0.9   1.5   3.3 
25.0   0.0500      0.005   0.447   0.148   0.447   7.5   1.3   3.3   6.6 
35.0   0.000800    0.484   1.354   0.244   1.405   2.2   0.9   1.7   1.1 
35.0   0.00130     0.298   1.181   0.239   1.195   1.8   0.8   1.4   0.8 
35.0   0.00200     0.194   1.031   0.235   1.035   1.8   0.8   1.4   0.8 
35.0   0.00320     0.121   0.935   0.233   0.936   3.1   0.9   1.5   2.5 
35.0   0.00500     0.077   0.821   0.231   0.821   2.7   0.9   1.5   2.0 
35.0   0.00800     0.048   0.719   0.228   0.719   2.4   1.0   1.5   1.6 
35.0   0.0130      0.030   0.625   0.222   0.625   3.2   1.1   1.6   2.6 
35.0   0.0251      0.015   0.524   0.195   0.524   4.1   1.1   1.6   3.6 
35.0   0.0800      0.005   0.413   0.095   0.413   9.2   1.8   3.5   8.3 
45.0   0.00130     0.383   1.282   0.238   1.309   1.9   0.9   1.7   0.3 
45.0   0.00200     0.249   1.107   0.234   1.115   1.8   0.9   1.4   0.6 
45.0   0.00320     0.156   0.979   0.231   0.982   1.8   0.9   1.4   0.7 
45.0   0.00500     0.099   0.872   0.228   0.873   2.8   1.1   1.5   2.1 
45.0   0.00800     0.062   0.743   0.224   0.743   2.5   1.1   1.5   1.6 
45.0   0.0130      0.038   0.649   0.215   0.649   2.8   1.3   1.6   2.0 
