2.4	0.0070	0.0068	0.0117	0.0041	0.0101	0.0006
2.4	0.0070	0.0190	0.0146	0.0023	0.0039	0.0000
2.4	0.0070	0.0400	0.0166	0.0032	0.0021	0.0014
2.4	0.0070	0.0600	0.0212	0.0023	0.0023	0.0025
2.4	0.0300	0.0028	0.0141	0.0038	0.0025	0.0022
2.4	0.0300	0.0068	0.0139	0.0035	0.0038	0.0003
2.4	0.0300	0.0190	0.0123	0.0025	0.0038	0.0002
2.4	0.0300	0.0400	0.0150	0.0023	0.0047	0.0040
2.4	0.0300	0.0600	0.0218	0.0031	0.0030	0.0019
2.4	0.1300	0.0005	0.0163	0.0033	0.0000	0.0089
2.4	0.1300	0.0012	0.0184	0.0035	0.0011	0.0034
2.4	0.1300	0.0028	0.0131	0.0028	0.0029	0.0033
2.4	0.1300	0.0068	0.0164	0.0035	0.0013	0.0071
2.4	0.1300	0.0190	0.0173	0.0033	0.0019	0.0007
2.4	0.4800	0.0005	0.0331	0.0056	0.0019	0.0039
2.4	0.4800	0.0012	0.0271	0.0054	0.0097	0.0030
2.4	0.4800	0.0028	0.0181	0.0040	0.0052	0.0051
3.7	0.0070	0.0190	0.0134	0.0022	0.0017	0.0011
3.7	0.0070	0.0400	0.0183	0.0027	0.0037	0.0014
3.7	0.0070	0.0600	0.0282	0.0039	0.0046	0.0017
3.7	0.0300	0.0028	0.0206	0.0058	0.0008	0.0081
3.7	0.0300	0.0068	0.0191	0.0046	0.0050	0.0007
3.7	0.0300	0.0190	0.0102	0.0032	0.0051	0.0001
3.7	0.0300	0.0400	0.0134	0.0022	0.0031	0.0005
3.7	0.0300	0.0600	0.0211	0.0022	0.0031	0.0018
3.7	0.1300	0.0005	0.0243	0.0060	0.0064	0.0012
3.7	0.1300	0.0012	0.0194	0.0037	0.0029	0.0024
3.7	0.1300	0.0028	0.0142	0.0027	0.0022	0.0019
3.7	0.1300	0.0068	0.0087	0.0019	0.0030	0.0000
3.7	0.1300	0.0190	0.0106	0.0016	0.0009	0.0016
3.7	0.1300	0.0400	0.0089	0.0019	0.0007	0.0018
3.7	0.4800	0.0005	0.0423	0.0056	0.0045	0.0024
3.7	0.4800	0.0012	0.0355	0.0058	0.0064	0.0033
3.7	0.4800	0.0028	0.0277	0.0062	0.0074	0.0008
3.7	0.4800	0.0068	0.0234	0.0046	0.0034	0.0055
6.9	0.0070	0.0190	0.0182	0.0031	0.0043	0.0027
6.9	0.0070	0.0400	0.0250	0.0030	0.0040	0.0013
6.9	0.0070	0.0600	0.0274	0.0024	0.0033	0.0019
6.9	0.0300	0.0068	0.0206	0.0038	0.0065	0.0017
6.9	0.0300	0.0190	0.0138	0.0017	0.0020	0.0003
6.9	0.0300	0.0400	0.0139	0.0031	0.0020	0.0025
6.9	0.0300	0.0600	0.0281	0.0032	0.0057	0.0013
6.9	0.1300	0.0012	0.0237	0.0044	0.0058	0.0025
6.9	0.1300	0.0028	0.0196	0.0032	0.0010	0.0051
6.9	0.1300	0.0068	0.0114	0.0020	0.0016	0.0014
6.9	0.1300	0.0190	0.0136	0.0018	0.0031	0.0011
6.9	0.1300	0.0400	0.0147	0.0026	0.0025	0.0006
6.9	0.1300	0.0600	0.0190	0.0033	0.0031	0.0012
6.9	0.4800	0.0005	0.0436	0.0053	0.0060	0.0026
6.9	0.4800	0.0012	0.0333	0.0043	0.0037	0.0013
6.9	0.4800	0.0028	0.0275	0.0042	0.0044	0.0014
6.9	0.4800	0.0068	0.0260	0.0041	0.0042	0.0024
6.9	0.4800	0.0190	0.0156	0.0028	0.0017	0.0024
13.5	0.0070	0.0400	0.0406	0.0073	0.0126	0.0036
13.5	0.0070	0.0600	0.0420	0.0046	0.0061	0.0028
13.5	0.0300	0.0190	0.0207	0.0039	0.0025	0.0014
13.5	0.0300	0.0400	0.0264	0.0037	0.0074	0.0032
13.5	0.0300	0.0600	0.0303	0.0032	0.0041	0.0030
13.5	0.1300	0.0028	0.0210	0.0046	0.0043	0.0033
13.5	0.1300	0.0068	0.0165	0.0028	0.0032	0.0010
13.5	0.1300	0.0190	0.0157	0.0021	0.0026	0.0008
13.5	0.1300	0.0400	0.0175	0.0027	0.0010	0.0050
13.5	0.1300	0.0600	0.0210	0.0027	0.0030	0.0032
13.5	0.4800	0.0005	0.0483	0.0108	0.0185	0.0011
13.5	0.4800	0.0012	0.0326	0.0046	0.0032	0.0023
13.5	0.4800	0.0028	0.0262	0.0040	0.0017	0.0068
13.5	0.4800	0.0068	0.0202	0.0031	0.0034	0.0009
13.5	0.4800	0.0190	0.0236	0.0041	0.0040	0.0026
13.5	0.4800	0.0400	0.0140	0.0030	0.0056	0.0002
39.0	0.0300	0.0400	0.0379	0.0066	0.0063	0.0038
39.0	0.0300	0.0600	0.0394	0.0045	0.0057	0.0037
39.0	0.1300	0.0068	0.0303	0.0070	0.0007	0.0122
39.0	0.1300	0.0190	0.0223	0.0033	0.0063	0.0005
39.0	0.1300	0.0400	0.0203	0.0033	0.0031	0.0023
39.0	0.1300	0.0600	0.0289	0.0033	0.0041	0.0033
39.0	0.4800	0.0028	0.0287	0.0056	0.0040	0.0032
39.0	0.4800	0.0068	0.0212	0.0041	0.0028	0.0019
39.0	0.4800	0.0190	0.0176	0.0029	0.0033	0.0012
39.0	0.4800	0.0400	0.0200	0.0042	0.0052	0.0017
39.0	0.4800	0.0600	0.0190	0.0033	0.0033	0.0041
