4.5	0.04	0.00012	0.0203	0.0042	0.0017
4.5	0.04	0.00029	0.0182	0.0039	0.0017
4.5	0.04	0.00067	0.0091	0.0030	0.0017
4.5	0.10	0.00012	0.0112	0.0044	0.0015
4.5	0.10	0.00029	0.0174	0.0055	0.0025
4.5	0.10	0.00067	0.0259	0.0077	0.0038
4.5	0.20	0.00012	0.0238	0.0070	0.0022
4.5	0.20	0.00029	0.0246	0.0068	0.0021
4.5	0.20	0.00067	0.0185	0.0063	0.0024
4.5	0.40	0.00012	0.0433	0.0130	0.0033
4.5	0.40	0.00029	0.0372	0.0110	0.0015
4.5	0.40	0.00067	0.0218	0.0107	0.0022
4.5	0.40	0.00160	0.0335	0.0139	0.0039
4.5	0.65	0.00012	0.0566	0.0159	0.0112
4.5	0.65	0.00029	0.0330	0.0104	0.0032
4.5	0.65	0.00067	0.0451	0.0154	0.0055
4.5	0.65	0.00160	0.0423	0.0175	0.0049
4.5	0.90	0.00029	0.0660	0.0200	0.0105
4.5	0.90	0.00067	0.0678	0.0242	0.0109
4.5	0.90	0.00160	0.0314	0.0177	0.0044
7.5	0.04	0.00020	0.0201	0.0053	0.0011
7.5	0.04	0.00040	0.0195	0.0043	0.0027
7.5	0.04	0.00079	0.0215	0.0046	0.0039
7.5	0.10	0.00020	0.0205	0.0071	0.0021
7.5	0.10	0.00040	0.0195	0.0060	0.0019
7.5	0.10	0.00079	0.0124	0.0042	0.0013
7.5	0.10	0.00158	0.0298	0.0074	0.0056
7.5	0.10	0.00316	0.0490	0.0156	0.0101
7.5	0.20	0.00020	0.0258	0.0085	0.0019
7.5	0.20	0.00040	0.0210	0.0065	0.0023
7.5	0.20	0.00079	0.0174	0.0054	0.0016
7.5	0.20	0.00158	0.0170	0.0050	0.0021
7.5	0.20	0.00316	0.0222	0.0065	0.0034
7.5	0.40	0.00020	0.0354	0.0123	0.0028
7.5	0.40	0.00040	0.0277	0.0102	0.0014
7.5	0.40	0.00079	0.0266	0.0092	0.0026
7.5	0.40	0.00158	0.0155	0.0064	0.0010
7.5	0.40	0.00316	0.0394	0.0110	0.0048
7.5	0.40	0.00668	0.0231	0.0083	0.0036
7.5	0.65	0.00020	0.0764	0.0221	0.0116
7.5	0.65	0.00040	0.0253	0.0091	0.0026
7.5	0.65	0.00079	0.0347	0.0120	0.0029
7.5	0.65	0.00158	0.0196	0.0076	0.0024
7.5	0.65	0.00316	0.0146	0.0074	0.0025
7.5	0.65	0.00668	0.0212	0.0082	0.0034
7.5	0.90	0.00040	0.0638	0.0209	0.0122
7.5	0.90	0.00079	0.0434	0.0158	0.0063
7.5	0.90	0.00158	0.0379	0.0148	0.0071
7.5	0.90	0.00316	0.0365	0.0177	0.0062
7.5	0.90	0.00668	0.0257	0.0121	0.0077
7.5	0.90	0.01778	0.0220	0.0116	0.0064
9.0	0.04	0.00024	0.0279	0.0035	0.0027
9.0	0.04	0.00042	0.0211	0.0026	0.0020
9.0	0.04	0.00075	0.0313	0.0040	0.0027
9.0	0.10	0.00024	0.0252	0.0035	0.0019
9.0	0.10	0.00042	0.0304	0.0042	0.0033
9.0	0.10	0.00075	0.0261	0.0039	0.0030
9.0	0.10	0.00133	0.0248	0.0041	0.0029
9.0	0.10	0.00237	0.0317	0.0057	0.0034
9.0	0.20	0.00024	0.0260	0.0035	0.0016
9.0	0.20	0.00042	0.0354	0.0041	0.0022
9.0	0.20	0.00075	0.0200	0.0026	0.0018
9.0	0.20	0.00133	0.0257	0.0034	0.0015
9.0	0.20	0.00237	0.0235	0.0033	0.0028
9.0	0.20	0.00421	0.0270	0.0046	0.0030
9.0	0.40	0.00024	0.0456	0.0064	0.0029
9.0	0.40	0.00042	0.0446	0.0060	0.0028
9.0	0.40	0.00075	0.0375	0.0053	0.0029
9.0	0.40	0.00133	0.0226	0.0035	0.0013
9.0	0.40	0.00237	0.0222	0.0044	0.0014
9.0	0.40	0.00421	0.0351	0.0066	0.0025
9.0	0.40	0.00750	0.0247	0.0061	0.0032
9.0	0.65	0.00024	0.0469	0.0072	0.0059
9.0	0.65	0.00042	0.0511	0.0065	0.0057
9.0	0.65	0.00075	0.0378	0.0054	0.0028
9.0	0.65	0.00133	0.0445	0.0065	0.0051
9.0	0.65	0.00237	0.0238	0.0047	0.0024
9.0	0.65	0.00421	0.0222	0.0044	0.0029
9.0	0.65	0.00750	0.0161	0.0044	0.0030
9.0	0.90	0.00042	0.0346	0.0061	0.0034
9.0	0.90	0.00075	0.0332	0.0066	0.0032
9.0	0.90	0.00133	0.0246	0.0055	0.0030
9.0	0.90	0.00237	0.0310	0.0068	0.0024
9.0	0.90	0.00421	0.0277	0.0080	0.0031
9.0	0.90	0.00750	0.0106	0.0041	0.0012
12.0	0.04	0.00024	0.0281	0.0054	0.0050
12.0	0.04	0.00042	0.0277	0.0034	0.0023
12.0	0.04	0.00075	0.0284	0.0047	0.0028
12.0	0.04	0.00133	0.0452	0.0056	0.0056
12.0	0.10	0.00024	0.0308	0.0061	0.0028
12.0	0.10	0.00042	0.0268	0.0038	0.0022
12.0	0.10	0.00075	0.0256	0.0033	0.0017
12.0	0.10	0.00133	0.0285	0.0045	0.0030
12.0	0.10	0.00237	0.0298	0.0044	0.0033
12.0	0.20	0.00024	0.0230	0.0042	0.0015
12.0	0.20	0.00042	0.0351	0.0045	0.0030
12.0	0.20	0.00075	0.0248	0.0031	0.0018
12.0	0.20	0.00133	0.0239	0.0031	0.0015
12.0	0.20	0.00237	0.0302	0.0041	0.0022
12.0	0.20	0.00421	0.0222	0.0033	0.0022
12.0	0.20	0.00750	0.0403	0.0068	0.0068
12.0	0.40	0.00024	0.0372	0.0077	0.0033
12.0	0.40	0.00042	0.0478	0.0060	0.0039
12.0	0.40	0.00075	0.0351	0.0050	0.0026
12.0	0.40	0.00133	0.0354	0.0049	0.0025
12.0	0.40	0.00237	0.0267	0.0046	0.0026
12.0	0.40	0.00421	0.0186	0.0034	0.0018
12.0	0.40	0.00750	0.0266	0.0047	0.0047
12.0	0.65	0.00024	0.0585	0.0133	0.0100
12.0	0.65	0.00042	0.0523	0.0072	0.0044
12.0	0.65	0.00075	0.0442	0.0057	0.0045
