   1.5   0.0000320   0.518   0.786   0.346   0.832   5.5   1.3   3.5   4.0  
   1.5   0.0000500   0.331   0.739   0.290   0.752   4.9   1.9   3.9   2.3  
   1.5   0.0000800   0.207   0.698   0.242   0.702   8.6   4.2   6.8   3.2  
   2.0   0.0000500   0.442   0.823   0.278   0.851   3.5   0.9   2.8   1.9  
   2.0   0.0000800   0.276   0.740   0.242   0.748   3.5   1.0   2.7   2.0  
   2.0   0.000130    0.170   0.714   0.209   0.716   3.7   1.3   2.9   1.8  
   2.0   0.000200    0.111   0.653   0.183   0.654   4.7   1.2   3.0   3.4  
   2.0   0.000320    0.069   0.625   0.159   0.626   4.4   1.4   3.1   2.8  
   2.0   0.000500    0.044   0.620   0.139   0.620   5.8   1.5   3.3   4.6  
   2.0   0.00100     0.022   0.512   0.115   0.513   4.5   1.2   3.0   3.2  
   2.0   0.00320     0.007   0.424   0.112   0.424   6.6   1.5   4.3   4.7  
   2.5   0.0000500   0.552   0.859   0.276   0.909   3.7   1.3   2.2   2.7  
   2.5   0.0000800   0.345   0.814   0.246   0.828   2.6   0.9   1.8   1.7  
   2.5   0.000130    0.212   0.763   0.219   0.767   2.5   0.9   1.6   1.7  
   2.5   0.000200    0.138   0.690   0.198   0.691   3.0   1.0   2.7   1.1  
   2.5   0.000320    0.086   0.637   0.177   0.638   3.1   1.0   2.7   1.4  
   2.5   0.000500    0.055   0.603   0.161   0.603   3.0   1.0   2.7   0.9  
   2.5   0.000800    0.035   0.555   0.147   0.555   3.1   1.1   2.7   1.1  
   2.5   0.00158     0.018   0.516   0.137   0.516   2.9   0.8   2.6   1.1  
   2.5   0.00500     0.005   0.403   0.167   0.403   5.2   1.0   3.9   3.3  
   3.5   0.0000800   0.483   0.928   0.254   0.964   2.9   1.1   1.8   2.1  
   3.5   0.000130    0.297   0.876   0.233   0.886   2.2   0.9   1.5   1.4  
   3.5   0.000200    0.193   0.822   0.216   0.826   2.3   0.9   1.5   1.5  
   3.5   0.000320    0.121   0.760   0.201   0.761   2.6   1.0   1.6   1.7  
   3.5   0.000500    0.078   0.715   0.188   0.716   2.7   1.0   1.6   1.9  
   3.5   0.000800    0.048   0.647   0.178   0.647   2.4   1.0   1.7   1.4  
   3.5   0.00130     0.030   0.601   0.173   0.601   2.6   1.0   1.7   1.7  
   3.5   0.00251     0.015   0.532   0.176   0.532   2.1   0.8   1.5   1.2  
   3.5   0.00800     0.005   0.418   0.236   0.418   4.2   0.9   3.3   2.4  
   5.0   0.000130    0.425   1.015   0.245   1.043   2.4   1.1   1.7   1.4  
   5.0   0.000200    0.276   0.965   0.232   0.974   2.3   1.0   1.4   1.5  
   5.0   0.000320    0.173   0.887   0.220   0.890   2.4   1.1   1.6   1.5  
   5.0   0.000500    0.111   0.791   0.210   0.792   2.3   1.1   1.6   1.4  
   5.0   0.000800    0.069   0.703   0.202   0.704   2.5   1.1   1.6   1.5  
   5.0   0.00130     0.043   0.661   0.198   0.661   3.0   1.1   1.6   2.3  
   5.0   0.00200     0.028   0.621   0.199   0.621   2.5   1.1   1.6   1.5  
   5.0   0.00398     0.014   0.538   0.213   0.538   2.3   0.9   1.5   1.5  
   5.0   0.0130      0.004   0.410   0.281   0.410   3.9   1.0   3.2   2.1  
   6.5   0.000130    0.552   1.089   0.252   1.148   3.5   1.6   1.7   2.6  
   6.5   0.000200    0.359   1.073   0.241   1.092   2.3   1.1   1.6   1.3  
   6.5   0.000320    0.224   0.957   0.230   0.963   2.1   1.2   1.4   1.2  
   6.5   0.000500    0.144   0.875   0.222   0.877   2.7   1.2   1.5   1.8  
   6.5   0.000800    0.090   0.800   0.215   0.801   2.5   1.2   1.5   1.5  
   6.5   0.00130     0.055   0.708   0.211   0.708   2.5   1.2   1.5   1.4  
   6.5   0.00200     0.036   0.672   0.212   0.672   2.7   1.3   1.6   1.7  
   6.5   0.00398     0.018   0.587   0.223   0.587   2.3   0.9   1.4   1.6  
   6.5   0.0130      0.005   0.432   0.273   0.432   3.6   1.0   3.2   1.4  
   8.5   0.000200    0.470   1.152   0.247   1.193   2.9   1.4   1.6   2.0  
   8.5   0.000320    0.293   1.080   0.238   1.092   2.5   1.3   1.5   1.6  
   8.5   0.000500    0.188   0.992   0.231   0.996   2.3   1.3   1.4   1.3  
   8.5   0.000800    0.118   0.893   0.225   0.894   2.5   1.4   1.5   1.4  
   8.5   0.00130     0.072   0.797   0.222   0.797   2.8   1.4   1.6   1.8  
   8.5   0.00200     0.047   0.725   0.222   0.725   2.8   1.4   1.6   1.8  
   8.5   0.00320     0.029   0.632   0.226   0.632   2.8   1.5   1.6   1.8  
   8.5   0.00631     0.015   0.565   0.242   0.565   2.3   1.1   1.5   1.3  
   8.5   0.0200      0.005   0.419   0.268   0.419   4.2   1.2   3.2   2.4  
  12.0   0.000800    0.166   0.986   0.233   0.989   2.7   1.6   1.6   1.5  
  12.0   0.00130     0.102   0.878   0.230   0.879   2.3   1.6   1.6   0.6  
  12.0   0.00200     0.066   0.825   0.229   0.825   2.7   1.6   1.6   1.5  
  12.0   0.00320     0.041   0.725   0.231   0.725   2.9   1.6   1.6   1.7  
  12.0   0.00631     0.021   0.613   0.241   0.613   2.4   1.2   1.5   1.5  
  12.0   0.0200      0.007   0.459   0.249   0.459   4.0   1.4   3.2   1.9  

*************************************************************************
*  H1 data 97 Luminosity=1.8 pb-1
*************************************************************************
*                                                  errors in % of sigma_r:
*q2/GeV2     x         y    sigma_r    R      F2    total  stat  unc. corr.
*
